effect,group,term,estimate,std.error,statistic,df,p.value
fixed,NA,(Intercept),32.48807944620843,0.4771717564250662,68.0846655502132,24.19879687269431,3.670510267478658e-29
fixed,NA,X_i,0.8161093128029092,0.045917975994050966,17.773198733947737,44972.000014271274,1.987045586672415e-70
fixed,NA,Y_i,0.7877875205934183,0.11855970421100774,6.6446481613293,44972.000000740736,3.074009509487564e-11
fixed,NA,X_i:Y_i,0.5115342885674555,0.1452053896861355,3.5228326556827376,44972.000000846536,4.273840438746437e-4
ran_pars,subj_id,sd__(Intercept),2.3784829450030007,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.591797599405102,NA,NA,NA,NA
fixed,NA,(Intercept),32.7249967031478,0.5003382166736186,65.40575077537007,24.17817480048247,1.0076911301384284e-28
fixed,NA,X_i,-0.09369469205466671,0.045601988881286734,-2.054618545225674,44971.999989596276,0.03992162785783722
fixed,NA,Y_i,-0.12764850687105136,0.11774382899410636,-1.0841205688787374,44971.999997863924,0.2783171559437032
fixed,NA,X_i:Y_i,-0.10841627064000173,0.14420615069854,-0.7518144691806088,44971.999998061205,0.4521665738826848
ran_pars,subj_id,sd__(Intercept),2.4947543472699367,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.560198888128678,NA,NA,NA,NA
fixed,NA,(Intercept),31.594014413315815,0.4390534781785346,71.95937621172557,24.24090577292209,8.818987303001536e-30
fixed,NA,X_i,-0.34184844624196925,0.04647906098886768,-7.354891406344166,44972.0000050139,1.9432941830312757e-13
fixed,NA,Y_i,-0.002206441238213325,0.12000841943816234,-0.018385720339815448,44972.00000002714,0.9853312255992256
fixed,NA,X_i:Y_i,-0.3540037169203052,0.14697969623069998,-2.4085212175473503,44972.00000002759,0.016021291104641185
ran_pars,subj_id,sd__(Intercept),2.18705140897625,NA,NA,NA,NA
ran_pars,Residual,sd__Observation,4.647906098886771,NA,NA,NA,NA
